Temperature (°C),Humidity (%),Paper Sensor Value
25.30,44.00,846
25.30,43.00,846
25.30,43.00,845
25.30,43.00,844
25.30,43.00,845
25.30,43.00,845
25.30,43.00,845
25.30,44.00,844
25.30,44.00,844
25.30,45.00,844
25.30,47.00,843
25.30,48.00,841
25.30,49.00,842
25.30,51.00,841
25.30,53.00,842
25.30,55.00,841
25.30,58.00,841
25.30,61.00,841
25.30,64.00,841
25.30,68.00,841
25.60,70.00,841
25.80,73.00,841
25.80,76.00,839
25.80,78.00,839
26.20,81.00,842
24.80,46.00,981
24.80,46.00,979
24.80,46.00,980
24.80,45.00,980
24.80,45.00,977
24.80,45.00,979
24.80,45.00,980
24.80,46.00,980
24.80,46.00,979
24.80,47.00,978
24.80,48.00,979
24.90,48.00,978
25.30,49.00,977
25.30,50.00,980
25.30,51.00,978
25.30,52.00,977
25.30,54.00,975
25.30,70.00,986
25.80,74.00,984
25.80,77.00,983
25.80,80.00,983
26.20,82.00,982
26.20,85.00,981
26.20,87.00,979
26.70,89.00,978
26.70,91.00,995
27.10,92.00,999
27.10,93.00,999
27.60,94.00,998
28.00,94.00,998
28.00,95.00,995
28.50,96.00,995
28.90,98.00,994
28.90,98.00,992
29.30,98.00,992
29.30,98.00,992
29.80,98.00,991
29.80,98.00,989
29.80,98.00,989
29.80,98.00,990
29.80,98.00,989
29.80,98.00,988
29.80,98.00,989
29.80,98.00,986
29.80,98.00,987
29.30,98.00,985
29.30,98.00,987
29.30,98.00,985
29.30,98.00,986
28.90,98.00,983
28.90,98.00,985
28.90,98.00,986
28.50,98.00,984
28.50,98.00,987
28.50,98.00,984
28.00,98.00,984
28.00,98.00,986
28.00,98.00,985
27.60,98.00,987
27.60,98.00,985
27.60,98.00,986
27.60,98.00,987
27.50,98.00,986
27.10,97.00,985
27.10,97.00,986
27.10,96.00,985
27.10,96.00,985
27.10,96.00,985
26.70,96.00,985
26.70,96.00,987
26.70,95.00,987
26.70,94.00,987
26.70,94.00,988
26.70,94.00,988
26.70,94.00,988
26.50,93.00,988
26.20,93.00,987
26.20,93.00,989
26.20,93.00,989
26.20,92.00,988
26.20,91.00,989
26.20,91.00,990
26.20,90.00,991
26.20,90.00,991
26.20,89.00,992
26.20,89.00,991
25.80,88.00,991
25.80,87.00,993
25.80,86.00,994
25.80,85.00,993
25.80,85.00,994
25.80,84.00,991
25.80,83.00,994
25.80,82.00,994
25.80,81.00,994
25.80,81.00,993
25.80,80.00,995
25.80,79.00,997
25.80,78.00,999
25.80,77.00,998
25.80,76.00,999
25.80,75.00,999
25.80,74.00,1000
25.80,73.00,1001
25.40,73.00,1000
25.30,72.00,1001
25.30,71.00,1002
25.30,70.00,1003
25.30,69.00,1003
25.30,69.00,1003
25.30,68.00,1004
25.30,67.00,1005
25.30,66.00,1006
25.30,65.00,1007
25.30,64.00,1006
25.30,63.00,1006
25.30,62.00,1006
25.30,61.00,1008
25.30,61.00,1010
25.30,60.00,1007
25.30,59.00,1010
25.30,58.00,1010
25.30,58.00,1011
25.30,57.00,1011
25.30,57.00,1011
25.30,56.00,1013
25.30,55.00,1011
25.30,54.00,1012
25.30,54.00,1011
25.30,54.00,1011
25.30,53.00,1013
25.30,53.00,1012
25.30,52.00,1012
25.30,52.00,1012
25.30,51.00,1013
25.30,51.00,1011
25.30,51.00,1013
25.30,50.00,1014
25.30,50.00,1013
25.30,49.00,1013
25.30,49.00,986
25.30,49.00,988
25.30,49.00,985
25.30,49.00,986
25.30,48.00,987
25.30,48.00,987
25.30,48.00,986
25.30,48.00,988
25.30,48.00,987
25.30,48.00,987
25.30,47.00,987
25.30,47.00,986
25.30,47.00,985
25.30,47.00,987
25.30,47.00,987
25.30,47.00,986
25.30,46.00,987
25.30,46.00,987
25.30,46.00,986
25.30,46.00,987
25.30,46.00,988
25.30,46.00,987
25.30,46.00,987
25.30,46.00,985
25.30,45.00,986
25.30,45.00,988
25.30,45.00,987
25.30,45.00,987
25.30,45.00,987
25.30,45.00,986
25.30,45.00,987
25.30,45.00,988
