Temperature (°C),Humidity (%),Paper Sensor Value
25.30,43.00,984
25.30,43.00,985
25.30,43.00,984
25.30,43.00,985
25.30,43.00,983
25.30,43.00,984
25.30,43.00,984
25.30,43.00,985
25.30,43.00,983
25.30,43.00,985
25.30,43.00,985
25.30,43.00,984
25.30,43.00,983
25.30,43.00,985
25.30,44.00,984
25.30,44.00,984
25.30,44.00,985
25.30,44.00,985
25.30,45.00,984
25.30,45.00,984
25.30,46.00,984
25.30,47.00,985
25.30,47.00,984
25.30,48.00,985
25.30,48.00,984
25.30,49.00,986
25.30,50.00,985
25.30,51.00,986
25.30,52.00,985
25.30,53.00,984
25.30,54.00,983
25.30,56.00,983
25.30,58.00,982
25.30,60.00,983
25.80,64.00,982
25.80,68.00,981
25.80,71.00,978
25.80,73.00,977
26.20,77.00,975
26.20,81.00,974
26.70,85.00,972
26.70,89.00,969
27.10,92.00,989
27.60,93.00,994
27.60,94.00,993
28.00,95.00,992
28.00,95.00,992
28.50,98.00,992
28.90,98.00,991
29.30,98.00,991
29.70,98.00,990
29.80,98.00,987
30.20,98.00,986
30.80,98.00,986
31.30,98.00,982
31.80,98.00,981
31.80,98.00,978
32.30,98.00,977
32.80,98.00,977
32.80,98.00,978
33.30,98.00,978
33.30,98.00,977
33.30,98.00,977
33.30,98.00,975
33.30,98.00,975
33.30,98.00,977
32.80,98.00,977
32.80,98.00,973
32.80,98.00,975
32.30,98.00,975
32.30,98.00,973
31.80,98.00,974
31.80,98.00,973
31.30,98.00,973
31.30,98.00,972
30.80,98.00,971
30.80,98.00,972
30.20,98.00,973
30.20,98.00,971
29.80,98.00,970
29.80,98.00,973
29.30,98.00,970
29.30,98.00,972
28.90,98.00,972
28.90,98.00,972
28.70,98.00,971
28.50,98.00,971
28.50,98.00,970
28.00,98.00,971
28.00,98.00,971
28.00,98.00,970
27.60,98.00,971
27.60,98.00,971
27.60,98.00,971
27.20,98.00,971
27.10,98.00,971
27.10,98.00,970
27.10,98.00,971
27.10,98.00,970
26.70,98.00,971
26.70,98.00,972
26.70,98.00,971
26.70,98.00,972
26.70,98.00,972
26.70,98.00,972
26.60,98.00,970
26.20,98.00,973
26.20,97.00,973
26.20,97.00,973
26.20,97.00,974
26.20,96.00,973
26.20,96.00,974
26.20,96.00,974
26.20,96.00,974
26.20,95.00,975
26.00,95.00,974
25.80,95.00,974
25.80,94.00,975
25.80,94.00,975
25.80,94.00,976
25.80,94.00,975
25.80,93.00,977
25.80,93.00,976
25.80,93.00,978
25.80,92.00,976
25.80,92.00,977
25.80,91.00,978
25.80,90.00,977
25.80,90.00,977
25.30,89.00,979
25.30,89.00,981
25.30,88.00,981
25.30,87.00,980
25.30,86.00,981
25.30,85.00,980
25.30,85.00,984
25.30,84.00,982
25.30,83.00,983
25.30,82.00,983
25.30,81.00,984
25.30,81.00,984
25.30,80.00,985
25.30,80.00,985
25.30,79.00,984
25.30,78.00,988
25.30,77.00,986
25.30,76.00,988
25.30,75.00,989
25.30,74.00,989
25.30,73.00,990
25.30,73.00,989
25.30,72.00,991
25.30,72.00,991
25.30,71.00,992
25.30,70.00,991
25.30,70.00,992
25.30,69.00,994
25.30,69.00,994
25.30,68.00,995
25.30,67.00,994
25.30,66.00,995
25.30,65.00,997
25.30,64.00,996
25.30,63.00,998
25.30,62.00,998
25.30,62.00,999
25.30,61.00,1001
25.30,60.00,999
25.30,59.00,1000
25.30,59.00,1001
25.30,58.00,1001
25.30,58.00,1002
25.30,57.00,1003
25.30,56.00,1004
25.30,56.00,1003
25.30,55.00,1006
25.30,54.00,1007
25.30,54.00,1006
25.30,53.00,1006
25.30,53.00,1009
25.30,53.00,1008
25.30,52.00,1010
25.30,52.00,1010
25.30,51.00,1009
25.30,51.00,1011
25.30,50.00,1011
25.30,50.00,1011
25.30,50.00,1009
25.30,49.00,1011
25.30,49.00,983
25.30,49.00,979
25.30,49.00,982
25.30,49.00,983
