Temperature (°C),Humidity (%),Paper Sensor Value
26.20,58.00,6
26.20,58.00,7
26.20,58.00,6
26.20,59.00,8
26.20,59.00,8
26.20,59.00,7
26.20,60.00,7
26.20,60.00,6
26.20,61.00,7
26.20,61.00,7
26.20,62.00,8
26.20,62.00,5
26.20,63.00,6
26.20,64.00,6
26.20,66.00,4
26.20,67.00,6
26.20,69.00,8
26.20,70.00,7
26.30,72.00,6
26.70,73.00,5
26.70,74.00,5
26.70,77.00,7
26.70,79.00,8
26.70,81.00,4
26.70,83.00,7
27.10,85.00,6
27.10,88.00,7
27.20,90.00,3
27.60,92.00,0
28.00,93.00,0
28.50,94.00,0
28.50,95.00,0
28.90,96.00,0
29.30,98.00,0
29.30,98.00,0
29.80,98.00,0
29.80,98.00,0
29.80,98.00,0
29.80,98.00,0
29.80,98.00,0
29.80,98.00,0
29.80,98.00,0
29.80,98.00,0
29.80,98.00,0
29.80,98.00,0
29.80,98.00,0
29.80,98.00,0
29.80,98.00,0
29.70,98.00,0
29.30,98.00,0
29.30,98.00,0
29.30,98.00,0
29.20,98.00,0
28.90,98.00,0
28.90,98.00,0
28.90,98.00,0
28.50,98.00,0
28.50,98.00,0
28.50,98.00,0
28.50,98.00,0
28.00,98.00,0
28.00,98.00,0
28.00,98.00,0
28.00,98.00,0
28.00,98.00,0
27.60,98.00,0
27.60,98.00,0
27.60,98.00,0
27.60,98.00,0
27.60,98.00,0
27.60,97.00,0
27.10,97.00,0
27.10,97.00,0
27.10,96.00,0
27.10,96.00,0
27.10,96.00,0
27.10,96.00,0
27.10,96.00,0
27.10,96.00,0
27.10,95.00,0
26.80,95.00,0
26.70,95.00,0
26.70,94.00,0
26.70,94.00,0
26.70,94.00,0
26.70,93.00,0
26.70,93.00,0
26.70,93.00,0
26.70,93.00,0
26.70,93.00,0
26.70,92.00,0
26.70,92.00,0
26.70,91.00,0
26.70,90.00,0
26.70,90.00,0
26.70,90.00,0
26.70,89.00,0
26.70,89.00,0
26.60,89.00,0
26.30,88.00,0
26.20,88.00,0
26.20,87.00,0
26.20,86.00,0
26.20,85.00,0
26.20,85.00,0
26.20,85.00,0
26.20,84.00,0
26.20,84.00,0
26.20,83.00,0
26.20,83.00,0
26.20,82.00,0
26.20,82.00,0
26.20,81.00,0
26.20,81.00,0
26.20,81.00,0
26.20,81.00,0
26.20,81.00,0
26.20,81.00,0
26.20,80.00,0
26.20,80.00,0
26.20,79.00,0
26.20,78.00,0
26.20,78.00,0
26.20,77.00,0
26.20,77.00,0
26.20,77.00,0
26.20,76.00,0
26.20,76.00,0
26.20,75.00,0
26.20,75.00,0
26.20,74.00,0
26.20,73.00,0
26.20,73.00,0
26.20,73.00,0
26.20,73.00,0
26.20,73.00,0
26.20,72.00,0
26.20,72.00,0
26.20,72.00,0
26.20,71.00,0
26.20,71.00,0
26.20,71.00,0
26.20,70.00,0
26.20,70.00,0
26.20,70.00,0
26.20,69.00,0
26.20,69.00,0
26.20,69.00,0
26.20,69.00,0
26.20,69.00,0
26.20,68.00,0
26.20,68.00,0
26.20,68.00,0
26.20,67.00,0
26.20,67.00,0
26.20,66.00,0
26.20,66.00,0
26.20,65.00,0
26.20,65.00,0
26.20,64.00,0
26.20,64.00,0
26.20,64.00,0
26.20,64.00,0
26.20,64.00,0
26.20,63.00,0
26.20,63.00,0
26.20,63.00,0
26.20,63.00,0
26.20,63.00,0
26.20,63.00,0
26.20,62.00,0
26.20,62.00,0
26.20,62.00,0
26.20,62.00,0
26.20,62.00,0
26.20,61.00,0
26.20,61.00,0
26.20,61.00,0
26.20,61.00,0
26.20,61.00,0
26.20,61.00,0
26.20,61.00,0
26.20,60.00,0
26.20,60.00,0
26.20,60.00,0
26.20,60.00,0
26.20,60.00,0
26.20,60.00,0
26.20,59.00,0
26.20,59.00,0
26.20,59.00,0
26.20,59.00,0
26.20,59.00,0
26.20,59.00,0
26.20,59.00,0
26.20,59.00,0
26.20,59.00,0
26.20,59.00,0
26.20,59.00,0
26.20,59.00,0
26.20,59.00,0
26.20,59.00,0
26.20,59.00,0
26.20,58.00,0
26.20,58.00,0
26.20,58.00,0
26.20,58.00,0
26.20,58.00,0
26.20,58.00,0
26.20,58.00,0
26.20,58.00,0
26.20,58.00,0
26.20,58.00,0
26.20,58.00,0
26.20,58.00,0
26.20,58.00,0
26.20,58.00,0
26.20,58.00,0
26.20,58.00,0
26.20,58.00,0
26.20,58.00,0
26.20,58.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,57.00,0
26.20,56.00,0
26.20,56.00,0
