Temperature (°C),Humidity (%),Sensor Value
24.1,41,166
24.1,41,291
24.1,41,218
24.1,41,0
24.1,41,242
24.1,41,419
24.1,41,56
24.1,41,51
24.1,41,461
24.1,41,258
24.1,41,0
24.1,41,382
24.1,41,335
24.1,41,0
24.1,41,316
24.1,41,358
24.1,41,0
24.1,41,282
24.1,41,447
24.1,41,0
24.1,41,240
24.1,41,419
24.1,41,6
24.1,41,210
24.1,41,426
24.1,41,27
24.1,41,158
24.1,41,467
24.1,41,55
24.1,41,157
24.1,41,343
24.1,41,314
24.1,42,339
24.1,42,0
24.1,42,309
24.1,42,200
24.1,42,0
24.1,42,409
24.1,42,101
24.1,42,171
24.1,42,429
24.1,42,0
24.1,42,439
24.1,42,193
24.1,42,84
24.1,42,460
24.1,42,0
24.1,42,389
24.1,42,261
24.1,42,34
24.1,42,467
24.1,42,0
24.1,42,418
24.1,42,162
24.1,42,164
24.1,42,404
24.1,42,0
24.1,42,409
24.1,42,0
24.1,42,328
24.1,42,109
24.1,42,229
24.1,42,67
24.1,42,45
24.1,42,486
24.1,42,0
24.1,42,473
24.1,42,67
24.1,42,323
24.1,42,116
24.1,42,223
24.1,42,59
24.1,42,0
24.1,42,485
24.1,42,102
24.1,42,258
24.1,42,357
24.1,42,3
24.1,42,524
24.1,42,0
24.1,42,469
24.1,42,95
24.1,42,451
24.1,42,113
24.1,42,22
24.1,42,179
24.1,42,188
24.1,42,450
24.1,42,93
24.1,42,332
24.1,42,0
24.1,42,284
24.1,42,426
24.1,42,0
24.1,42,536
24.1,42,0
24.1,42,602
24.1,42,0
24.1,42,555
24.1,42,22
24.1,42,501
24.1,42,83
24.1,42,400
24.1,42,225
24.1,42,218
24.1,42,387
24.1,42,37
24.1,42,496
24.1,42,0
24.1,42,553
24.1,42,0
24.1,42,555
24.1,42,5
24.1,42,526
24.1,42,38
24.1,42,486
24.1,42,79
24.1,42,461
24.1,42,82
24.1,42,470
24.1,42,72
24.1,42,473
24.1,42,79
24.1,42,459
24.1,43,102
24.1,43,420
24.1,43,138
24.1,43,396
24.1,43,162
24.1,43,375
24.1,43,162
24.1,43,407
24.1,43,146
24.1,43,429
24.1,43,108
24.1,43,461
24.1,43,80
24.1,43,500
24.1,43,42
24.1,43,529
24.1,43,11
24.1,44,561
24.1,44,0
24.1,44,558
24.1,44,0
24.1,44,510
24.1,44,15
24.1,44,424
24.1,45,174
24.1,46,273
24.1,46,391
24.1,46,52
24.1,47,553
24.1,47,0
24.1,48,499
24.1,48,135
24.1,49,268
24.1,49,436
24.1,49,25
24.1,50,575
24.1,51,0
24.1,53,518
24.1,54,55
24.1,55,392
24.1,57,271
24.1,59,191
24.1,62,463
24.1,65,29
24.5,68,476
24.5,70,0
24.5,72,426
24.8,73,0
24.8,76,333
25.3,78,0
25.3,81,197
25.8,82,115
25.8,85,34
26.2,86,253
26.2,89,0
26.7,90,291
27.1,92,0
27.1,93,258
27.6,93,0
27.7,94,131
28,95,119
28.5,95,18
28.5,96,191
28.9,96,0
28.9,98,170
29.3,98,0
29.3,98,125
29.8,98,8
29.8,98,30
29.8,98,107
29.8,98,0
29.8,98,149
29.8,98,0
29.8,98,109
29.8,98,0
29.8,98,40
29.8,98,87
29.8,98,0
29.3,98,127
29.3,98,0
29.2,98,216
28.9,98,0
28.9,98,207
28.5,98,0
28.5,98,207
28,98,0
28,98,206
28,98,0
27.6,98,209
27.6,98,0
27.1,98,203
27.1,98,0
27.1,98,218
26.7,98,0
26.7,98,221
26.7,97,0
26.2,97,224
26.2,97,0
26.2,96,229
26.2,96,0
25.8,96,218
25.8,96,0
25.8,96,215
25.8,95,0
25.3,95,235
25.3,94,0
25.3,94,234
25.3,94,0
25.3,94,224
25.3,93,0
24.8,93,200
24.8,93,0
24.8,93,165
24.8,93,0
24.8,92,127
24.8,92,0
24.5,92,113
24.5,91,0
24.5,90,128
24.5,90,0
24.5,90,156
24.5,89,0
24.5,89,184
24.5,89,0
24.5,89,208
24.5,88,0
24.1,88,190
24.1,87,0
24.1,86,183
24.1,86,0
24.1,85,157
24.1,85,15
24.1,85,104
24.1,84,57
24.1,84,18
24.1,83,144
24.1,82,0
24.1,82,189
24.1,81,0
24.1,81,178
24.1,81,12
24.1,81,88
23.8,80,127
23.8,80,0
23.8,80,125
23.8,79,8
23.8,79,33
23.8,78,55
23.8,78,0
23.8,77,83
23.8,77,6
23.8,77,39
23.8,77,60
23.8,77,0
23.8,76,98
23.8,76,0
23.8,75,64
23.8,75,51
23.8,74,0
23.8,73,103
23.8,73,0
23.8,73,61
23.8,73,79
23.8,73,0
23.8,73,118
23.8,72,20
23.8,72,18
23.8,72,131
23.8,71,0
23.8,71,183
23.8,71,200
23.8,70,0
23.8,70,301
23.8,69,64
23.8,69,0
23.8,69,315
23.8,69,18
23.8,69,98
23.8,68,316
23.8,68,0
23.8,67,112
