Temperature (°C),Humidity (%),Paper Sensor Value
25.30,41.00,932
25.30,41.00,157
25.30,41.00,626
25.30,41.00,812
25.30,41.00,0
25.30,41.00,1023
25.30,42.00,1023
25.30,42.00,126
25.30,42.00,698
25.30,42.00,702
25.30,42.00,48
25.30,42.00,1023
25.30,42.00,0
25.30,42.00,953
25.30,42.00,435
25.30,42.00,191
25.30,42.00,1023
25.30,42.00,0
25.30,42.00,925
25.30,42.00,528
25.30,42.00,105
25.30,42.00,1023
25.30,42.00,0
25.30,42.00,1023
25.30,42.00,153
25.30,42.00,679
25.30,42.00,730
25.30,43.00,0
25.30,43.00,1023
25.30,43.00,0
25.30,43.00,976
25.30,43.00,346
25.30,43.00,310
25.30,43.00,1023
25.30,43.00,0
25.30,43.00,1023
25.30,44.00,153
25.30,44.00,618
25.30,44.00,830
25.30,44.00,0
25.30,44.00,1023
25.30,44.00,18
25.30,45.00,860
25.30,45.00,577
25.30,46.00,87
25.30,46.00,1023
25.30,47.00,0
25.30,47.00,1023
25.30,48.00,111
25.30,50.00,125
25.30,53.00,735
25.30,55.00,770
25.80,58.00,0
25.80,61.00,1023
25.80,64.00,0
25.80,69.00,943
25.80,71.00,543
25.80,73.00,0
25.80,75.00,1023
26.20,79.00,0
26.20,81.00,928
26.20,82.00,508
26.20,85.00,40
26.60,87.00,1023
26.70,89.00,0
26.70,90.00,936
26.70,92.00,413
27.10,93.00,365
27.10,93.00,968
27.10,94.00,0
27.10,94.00,1023
27.10,95.00,23
27.10,96.00,868
27.10,96.00,331
27.10,96.00,586
27.10,96.00,627
27.10,96.00,311
27.10,96.00,933
27.10,96.00,172
27.10,96.00,1023
27.10,96.00,94
26.80,96.00,1007
26.70,95.00,486
26.70,95.00,899
