Temperature (°C),Humidity (%),Paper Sensor Value
26.20,58.00,1023
26.20,57.00,0
26.20,57.00,196
26.20,57.00,1023
26.20,57.00,791
26.20,57.00,0
26.20,57.00,429
26.20,57.00,1023
26.20,58.00,539
26.20,58.00,0
26.20,58.00,801
26.20,58.00,1023
26.20,58.00,14
26.20,58.00,40
26.20,59.00,1023
26.20,59.00,960
26.20,59.00,0
26.20,60.00,237
26.20,60.00,1023
26.20,61.00,813
26.20,63.00,94
26.20,64.00,1023
26.20,65.00,961
26.20,68.00,0
26.20,69.00,115
26.50,71.00,1023
26.70,72.00,1023
26.70,73.00,0
26.70,76.00,72
26.70,78.00,1023
26.70,80.00,981
26.70,81.00,0
27.10,84.00,150
27.10,86.00,1023
27.10,89.00,941
27.60,90.00,0
27.60,92.00,237
28.00,92.00,1023
28.00,93.00,966
28.50,94.00,0
28.50,95.00,105
28.90,95.00,1023
28.90,96.00,1023
29.30,98.00,0
29.30,98.00,55
29.30,98.00,1023
29.80,98.00,1023
29.80,98.00,0
30.10,98.00,102
30.20,98.00,1023
30.80,98.00,1023
30.80,98.00,0
31.30,98.00,10
31.80,98.00,1023
32.30,98.00,1023
32.30,98.00,17
32.80,98.00,0
32.80,98.00,473
33.30,98.00,1023
33.30,98.00,1023
33.30,98.00,0
33.80,98.00,0
33.80,98.00,1023
33.80,98.00,1023
33.80,98.00,217
33.40,98.00,0
33.30,98.00,701
33.30,98.00,1023
33.30,98.00,629
33.30,98.00,0
33.00,98.00,194
32.80,98.00,1023
32.80,98.00,1023
32.80,98.00,0
32.40,98.00,0
32.30,98.00,464
32.30,98.00,1023
31.80,98.00,1023
31.80,98.00,0
31.80,98.00,0
31.30,98.00,1023
31.30,98.00,1023
31.30,98.00,112
30.80,98.00,0
30.80,98.00,715
30.80,98.00,1023
30.20,98.00,712
30.20,98.00,0
30.20,98.00,136
29.80,98.00,1023
29.80,98.00,1023
29.80,98.00,0
29.30,98.00,0
29.30,98.00,1023
29.30,98.00,1023
28.90,98.00,0
28.90,98.00,139
28.90,98.00,1023
28.90,98.00,619
28.50,98.00,0
28.50,98.00,1023
28.50,98.00,1023
28.50,98.00,0
28.00,98.00,187
28.00,98.00,1023
28.00,98.00,197
28.00,98.00,0
28.00,98.00,1023
28.00,98.00,691
27.80,98.00,0
27.60,98.00,1023
27.60,98.00,872
27.60,98.00,0
27.60,98.00,1023
27.60,98.00,919
27.60,98.00,0
27.60,98.00,1023
27.60,98.00,918
27.20,98.00,0
27.10,98.00,1023
27.10,98.00,802
27.10,98.00,0
27.10,98.00,1023
27.10,98.00,736
27.10,98.00,0
27.10,98.00,1023
27.10,98.00,829
27.10,98.00,0
27.10,98.00,1023
27.10,98.00,936
27.10,98.00,0
27.10,98.00,1023
27.00,98.00,1001
26.70,98.00,0
26.70,98.00,1023
26.70,98.00,1023
26.70,98.00,0
26.70,98.00,1023
26.70,98.00,927
26.70,98.00,859
26.70,98.00,1023
26.70,98.00,868
26.70,98.00,0
26.70,98.00,1023
26.70,98.00,667
26.70,97.00,0
26.70,97.00,1023
26.70,97.00,410
26.70,97.00,22
26.70,97.00,1023
26.70,97.00,0
26.70,97.00,388
26.70,96.00,1023
26.70,96.00,0
26.70,96.00,1023
26.70,96.00,228
26.70,96.00,236
26.50,96.00,1023
26.30,96.00,0
26.20,96.00,1023
26.20,96.00,378
26.20,95.00,147
26.20,95.00,1023
26.20,95.00,0
26.20,94.00,1023
26.20,94.00,335
26.20,94.00,231
26.20,94.00,1023
26.20,94.00,0
26.20,94.00,1023
26.20,93.00,0
