Timestamp,Raw_Value,Filtered_Value
01:32.1,939,980.4
01:32.2,927,975.06
01:32.3,977,975.25
01:32.4,949,972.63
01:32.5,938,969.17
01:32.6,941,966.35
01:32.7,1035,973.21
01:32.8,972,973.09
01:32.9,1015,977.28
01:33.0,960,975.56
01:33.1,993,977.3
01:33.2,997,979.27
01:33.3,998,981.14
01:33.4,1106,993.63
01:33.5,1150,1009.27
01:33.6,1170,1025.34
01:33.7,1185,1041.3
01:33.8,1227,1059.87
01:33.9,1264,1080.29
01:34.0,1257,1097.96
01:34.1,1279,1116.06
01:34.2,1296,1134.06
01:34.3,1317,1152.35
01:34.4,1311,1168.22
01:34.5,1311,1182.49
01:34.6,1323,1196.54
01:34.7,1328,1209.69
01:34.8,1383,1227.02
01:34.9,1328,1237.12
01:35.0,1337,1247.11
01:35.1,1331,1255.5
01:35.2,1339,1263.85
01:35.3,1370,1274.46
01:35.4,1328,1279.82
01:35.5,1317,1283.53
01:35.6,1289,1284.08
01:35.7,1285,1284.17
01:35.8,1294,1285.16
01:35.9,1266,1283.24
01:36.0,1259,1280.82
01:36.1,1232,1275.93
01:36.2,1232,1271.54
01:36.3,1232,1267.59
01:36.4,1197,1260.53
01:36.5,1191,1253.57
01:36.6,1191,1247.32
01:36.7,1208,1243.39
01:36.8,1156,1234.65
01:36.9,1171,1228.28
01:37.0,1174,1222.85
01:37.1,1198,1220.37
01:37.2,1195,1217.83
01:37.3,1219,1217.95
01:37.4,1232,1219.35
01:37.5,1286,1226.02
01:37.6,1328,1236.22
01:37.7,1360,1248.59
01:37.8,1389,1262.64
01:37.9,1426,1278.97
01:38.0,1398,1290.87
01:38.1,1419,1303.69
01:38.2,1422,1315.52
01:38.3,1437,1327.67
01:38.4,1440,1338.9
01:38.5,1442,1349.21
01:38.6,1425,1356.79
01:38.7,1451,1366.21
01:38.8,1458,1375.39
01:38.9,1455,1383.35
01:39.0,1453,1390.31
01:39.1,1432,1394.48
01:39.2,1442,1399.23
01:39.3,1442,1403.51
01:39.4,1392,1402.36
01:39.5,1393,1401.42
01:39.6,1383,1399.58
01:39.7,1387,1398.32
01:39.8,1362,1394.69
01:39.9,1383,1393.52
01:40.0,1329,1387.07
01:40.1,1296,1377.96
01:40.2,1319,1372.07
01:40.3,1326,1367.46
01:40.4,1298,1360.51
01:40.5,1296,1354.06
01:40.6,1298,1348.46
01:40.7,1285,1342.11
01:40.8,1281,1336
01:40.9,1285,1330.9
01:41.0,1294,1327.21
01:41.1,1367,1331.19
01:41.2,1374,1335.47
01:41.3,1409,1342.82
01:41.4,1436,1352.14
01:41.5,1469,1363.83
01:41.6,1495,1376.94
01:41.7,1515,1390.75
01:41.8,1506,1402.27
01:41.9,1514,1413.45
01:42.0,1535,1425.6
01:42.1,1535,1436.54
01:42.2,1563,1449.19
01:42.3,1556,1459.87
01:42.4,1565,1470.38
01:42.5,1535,1476.84
01:42.6,1535,1482.66
01:42.7,1535,1487.89
01:42.8,1535,1492.6
01:42.9,1520,1495.34
01:43.0,1581,1503.91
01:43.1,1506,1504.12
01:43.2,1504,1504.11
01:43.3,1491,1502.8
01:43.4,1479,1500.42
01:43.5,1470,1497.37
01:43.6,1447,1492.34
01:43.7,1461,1489.2
01:43.8,1451,1485.38
01:43.9,1424,1479.24
01:44.0,1394,1470.72
01:44.1,1398,1463.45
01:44.2,1383,1455.4
01:44.3,1364,1446.26
01:44.4,1377,1439.34
01:44.5,1360,1431.4
01:44.6,1367,1424.96
01:44.7,1349,1417.37
01:44.8,1349,1410.53
01:44.9,1393,1408.78
01:45.0,1436,1411.5
01:45.1,1477,1418.05
01:45.2,1520,1428.24
01:45.3,1535,1438.92
01:45.4,1535,1448.53
01:45.5,1598,1463.47
01:45.6,1589,1476.03
01:45.7,1586,1487.02
01:45.8,1605,1498.82
01:45.9,1589,1507.84
01:46.0,1574,1514.46
01:46.1,1600,1523.01
01:46.2,1641,1534.81
01:46.3,1598,1541.13
01:46.4,1584,1545.42
01:46.5,1535,1544.37
01:46.6,1535,1543.44
01:46.7,1535,1542.59
01:46.8,1526,1540.93
01:46.9,1524,1539.24
01:47.0,1516,1536.92
01:47.1,1510,1534.22
01:47.2,1475,1528.3
01:47.3,1491,1524.57
01:47.4,1506,1522.71
01:47.5,1491,1519.54
01:47.6,1488,1516.39
01:47.7,1462,1510.95
01:47.8,1440,1503.85
01:47.9,1452,1498.67
01:48.0,1405,1489.3
01:48.1,1390,1479.37
01:48.2,1380,1469.43
01:48.3,1387,1461.19
01:48.4,1398,1454.87
01:48.5,1381,1447.48
01:48.6,1376,1440.34
01:48.7,1431,1439.4
01:48.8,1455,1440.96
01:48.9,1514,1448.27
01:49.0,1534,1456.84
01:49.1,1581,1469.26
01:49.2,1591,1481.43
01:49.3,1597,1492.99
01:49.4,1638,1507.49
01:49.5,1666,1523.34
01:49.6,1642,1535.21
01:49.7,1650,1546.68
01:49.8,1677,1559.72
01:49.9,1663,1570.04
01:50.0,1682,1581.24
01:50.1,1664,1589.52
01:50.2,1663,1596.86
01:50.3,1650,1602.18
01:50.4,1732,1615.16
01:50.5,1676,1621.24
01:50.6,1639,1623.02
01:50.7,1635,1624.22
01:50.8,1621,1623.9
01:50.9,1619,1623.41
01:51.0,1609,1621.97
01:51.1,1614,1621.17
01:51.2,1600,1619.05
01:51.3,1584,1615.55
01:51.4,1583,1612.29
01:51.5,1534,1604.46
01:51.6,1535,1597.52
01:51.7,1535,1591.26
01:51.8,1535,1585.64
01:51.9,1535,1580.57
01:52.0,1527,1575.22
01:52.1,1523,1570
01:52.2,1520,1565
01:52.3,1488,1557.3
01:52.4,1482,1549.77
01:52.5,1450,1539.79
01:52.6,1483,1534.11
01:52.7,1452,1525.9
01:52.8,1441,1517.41
01:52.9,1440,1509.67
01:53.0,1463,1505
01:53.1,1493,1503.8
01:53.2,1562,1509.62
01:53.3,1587,1517.36
01:53.4,1664,1532.02
01:53.5,1633,1542.12
01:53.6,1680,1555.91
01:53.7,1723,1572.62
01:53.8,1707,1586.06
01:53.9,1717,1599.15
01:54.0,1733,1612.54
01:54.1,1740,1625.28
01:54.2,1754,1638.15
01:54.3,1746,1648.94
01:54.4,1753,1659.34
01:54.5,1763,1669.71
01:54.6,1755,1678.24
01:54.7,1762,1686.61
01:54.8,1759,1693.85
01:54.9,1750,1699.47
01:55.0,1741,1703.62
01:55.1,1754,1708.66
01:55.2,1766,1714.39
01:55.3,1733,1716.25
01:55.4,1739,1718.53
01:55.5,1706,1717.28
01:55.6,1725,1718.05
01:55.7,1714,1717.64
01:55.8,1712,1717.08
01:55.9,1710,1716.37
01:56.0,1694,1714.13
01:56.1,1693,1712.02
01:56.2,1669,1707.72
01:56.3,1670,1703.95
01:56.4,1646,1698.15
01:56.5,1631,1691.44
01:56.6,1622,1684.49
01:56.7,1605,1676.54
01:56.8,1603,1669.19
01:56.9,1595,1661.77
01:57.0,1581,1653.69
01:57.1,1565,1644.82
01:57.2,1591,1639.44
01:57.3,1572,1632.7
01:57.4,1535,1622.93
01:57.5,1535,1614.13
01:57.6,1529,1605.62
01:57.7,1521,1597.16
01:57.8,1488,1586.24
01:57.9,1531,1580.72
01:58.0,1517,1574.35
01:58.1,1535,1570.41
01:58.2,1574,1570.77
01:58.3,1592,1572.89
01:58.4,1619,1577.5
01:58.5,1642,1583.95
01:58.6,1697,1595.26
01:58.7,1715,1607.23
01:58.8,1723,1618.81
01:58.9,1751,1632.03
01:59.0,1758,1644.63
01:59.1,1792,1659.36
01:59.2,1806,1674.03
01:59.3,1779,1684.52
01:59.4,1820,1698.07
01:59.5,1851,1713.36
01:59.6,1855,1727.53
01:59.7,1845,1739.27
01:59.8,1831,1748.45
01:59.9,1826,1756.2
02:00.0,1841,1764.68
02:00.1,1840,1772.21
02:00.2,1840,1778.99
02:00.3,1855,1786.59
02:00.4,1840,1791.93
02:00.5,1851,1797.84
02:00.6,1846,1802.66
02:00.7,1845,1806.89
02:00.8,1854,1811.6
02:00.9,1877,1818.14
02:01.0,1841,1820.43
02:01.1,1834,1821.78
02:01.2,1822,1821.81
02:01.3,1853,1824.93
02:01.4,1872,1829.63
02:01.5,1815,1828.17
02:01.6,1799,1825.25
02:01.7,1818,1824.53
02:01.8,1794,1821.47
02:01.9,1791,1818.43
02:02.0,1776,1814.18
02:02.1,1763,1809.07
02:02.2,1772,1805.36
02:02.3,1744,1799.22
02:02.4,1742,1793.5
02:02.5,1673,1781.45
02:02.6,1725,1775.81
02:02.7,1706,1768.82
02:02.8,1705,1762.44
02:02.9,1702,1756.4
02:03.0,1698,1750.56
02:03.1,1686,1744.1
02:03.2,1686,1738.29
02:03.3,1694,1733.86
02:03.4,1679,1728.38
02:03.5,1680,1723.54
02:03.6,1679,1719.08
02:03.7,1670,1714.18
02:03.8,1719,1714.66
02:03.9,1691,1712.29
02:04.0,1727,1713.76
02:04.1,1801,1722.49
02:04.2,1801,1730.34
02:04.3,1827,1740
02:04.4,1840,1750
02:04.5,1862,1761.2
02:04.6,1865,1771.58
02:04.7,1877,1782.12
02:04.8,1873,1791.21
02:04.9,1882,1800.29
02:05.0,1894,1809.66
02:05.1,1891,1817.8
02:05.2,1895,1825.52
02:05.3,1909,1833.86
02:05.4,1897,1840.18
02:05.5,1895,1845.66
02:05.6,1943,1855.39
02:05.7,1936,1863.45
02:05.8,1915,1868.61
02:05.9,1891,1870.85
02:06.0,1902,1873.96
02:06.1,1902,1876.77
02:06.2,1885,1877.59
02:06.3,1883,1878.13
02:06.4,1889,1879.22
02:06.5,1887,1880
02:06.6,1879,1879.9
02:06.7,1869,1878.81
02:06.8,1865,1877.43
02:06.9,1870,1876.68
02:07.0,1843,1873.32
02:07.1,1851,1871.08
02:07.2,1850,1868.98
02:07.3,1835,1865.58
02:07.4,1813,1860.32
02:07.5,1818,1856.09
02:07.6,1815,1851.98
02:07.7,1790,1845.78
02:07.8,1791,1840.3
02:07.9,1774,1833.67
02:08.0,1777,1828.01
02:08.1,1769,1822.1
02:08.2,1773,1817.19
02:08.3,1755,1810.97
